No.	question	answer	option2	option3	option4	explanation	datail / background
関係代名詞	関係代名詞を用いた文で、関係代名詞を省略できるのはどのパターンの時ですか？	目的格として使われている時	主格として使われている時	所有格として使われている時	継続用法（カンマがある時）	関係代名詞が後ろの節の中で目的語の役割をしている「目的格」の場合のみ、省略が可能だからです。	「The book (which) I bought」のように、後ろに「主語＋動詞」が続く形が省略の目安です。
関係代名詞	「私は父親が芸術家の少年を知っています」の（ ）に入る、所有を表す語はどれですか？「I know a boy ( ) father is an artist.」	whose	who	whom	which	先行詞（少年）と後ろの名詞（父親）の間に「少年の父親」という所有の関係があるからです。	所有格のwhoseは先行詞が人でも物でも使えます。thatで書き換えることはできないので注意しましょう。
関係代名詞	「あれは屋根が赤色の家です」とする際、物に使える所有格の関係代名詞はどれですか？「That is a house ( ) roof is red.」	whose	which	that	whom	whoseは先行詞が「物（家）」であっても、その所有物（屋根）を説明する際に用いることができるからです。	以前はof whichが使われましたが、現在は物に対してもwhoseを使うのが一般的で簡潔な表現です。
関係代名詞	「彼が言ったことは本当でした」の文頭に入る、先行詞を含む関係代名詞はどれですか？「( ) he said was true.」	What	That	Which	Who	whatは「～のこと（もの）」という意味で、先行詞（the thing）を自分の中に含んでいるからです。	whatを使う場合、直前に修飾される名詞（先行詞）を置いてはいけません。ここが他の関係代名詞との最大の違いです。
関係代名詞	「君が手に持っているものを見せて」の（ ）に入る語は何ですか？「Show me ( ) you have in your hand.」	what	which	that	whom	「～しているもの」という意味の名詞の塊を作り、showの目的語にする必要があるからです。	what＝the thing whichと置き換えて考えると、先行詞が含まれていることが理解しやすくなります。
関係代名詞	「公園を走っている少年と犬を見ました」の（ ）に入る、先行詞が「人と動物」の時に使う語はどれですか？	that	who	which	whom	先行詞が「人と物（動物）」の両方を含む場合、whoもwhichも使えないため、thatを用いるルールがあるからです。	thatしか使えない特別用法の一つです。他にも先行詞にallやthe onlyが付く場合に好まれます。
関係代名詞	「彼女はピアノが弾ける唯一の少女です」の（ ）に入る、thatが好まれる理由はどれですか？「She is the only girl ( ) can play the piano.」	the onlyという強い限定語があるから	girlが女性だから	ピアノが楽器だから	文が短いから	先行詞にthe only, the best, the firstなどの強い限定語が付く場合、関係代名詞はthatを使うのが一般的だからです。	強い限定語がある時は、whoやwhichよりもthatを使うのが英語の自然な習慣（特別用法）です。
関係代名詞	「私はその女性に話しかけようとしたが、彼女は別の男性と話していた」という補足説明の語順はどれですか？	, who was talking	who was talking	, which was talking	that was talking	カンマを置く「継続用法」にすることで、前の名詞に情報を付け加え、「しかし～」のような訳を添えられるからです。	継続用法（非制限用法）ではthatを使うことはできません。必ずwhoやwhichを用います。
関係代名詞	「本を一冊買いましたが、それは英語で書かれています」という継続用法の（ ）に入る語は何ですか？「I bought a book, ( ) is written in English.」	which	that	what	who	カンマの後ろで前の名詞（本）について説明を続ける際、物であればwhichを用いるからです。	限定用法（カンマなし）は種類を絞り込みますが、継続用法（カンマあり）は単なる情報の追加です。
関係代名詞	「彼は嘘をついたが、そのことが私を怒らせた」という「前の文の内容全体」を指す関係代名詞はどれですか？	, which	, that	, what	, who	継続用法のwhichは、直前の名詞だけでなく、前にある「文の内容の一部や全部」を先行詞にできるからです。	「嘘をついたこと（事柄）」を指しているため、whichが選ばれます。カンマが必要です。
関係代名詞	「あれは彼が住んでいる家です」を前置詞を使って表す際、正しい形はどれですか？	the house in which he lives	the house he lives	the house which he lives	the house where in he lives	関係代名詞whichを前置詞inと組み合わせることで、「その中で」という意味の場所の説明ができるからです。	「He lives in the house.」のinが前に出てきた形です。in whichは関係副詞where一語で書き換え可能です。
関係代名詞	「私が話しかけた男性は俳優です」を前置詞を使って繋ぐ際、正しい形はどれですか？	The man to whom I talked	The man who I talked	The man to which I talked	The man whom to I talked	talk to（～に話しかける）のtoを関係代名詞の前に置き、人を表す目的格whomを続けるのが正しい語順だからです。	前置詞の直後に関係代名詞を置く場合、whoは使えず、必ず目的格の形（whom）にする必要があります。
関係代名詞	「いわゆる」という意味の、関係代名詞whatを用いた慣用表現はどれですか？	what is called	what is more	what is better	what is telling	what is calledで「いわゆる（世間で呼ばれているところの）」という定型表現になるからです。	「what we call」や「what you call」と言い換えることもでき、どれも同じ意味で使われます。
関係代名詞	「さらに良いことには」という意味の慣用表現を選んでください。	what is better	what is more	what is called	what is worse	what is betterで「さらに良いことには」という意味になり、文全体に情報を付け加える副詞的な働きをするからです。	逆に「さらに悪いことには」はwhat is worseとなります。セットで覚えておきましょう。
関係代名詞	「さらに（その上）」という意味で、情報を付け加える時に使う慣用表現は何ですか？	what is more	what is called	what is better	what he is	what is moreで「さらに、その上」という意味になり、前の内容にさらに付け加える際に使われるからです。	BesidesやMoreoverと同じような役割を果たします。文頭に置かれることが多いです。
関係代名詞	「人間と空気の関係は、魚と水の関係と同じだ」という比較の慣用表現の空所は何ですか？「A is to B ( ) C is to D.」	what	that	which	than	「A is to B what C is to D」という形で、2つの関係性が等しいことを表す特別な構文だからです。	難易度が高い構文ですが、形が決まっているので丸ごと覚えてしまうのが得策です。
関係代名詞	目的格の関係代名詞が省略された「これが私が昨日買った時計です」の正しい英文はどれですか？	This is the watch I bought yesterday.	This is the watch bought yesterday.	This is watch I bought yesterday.	This is the watch what I bought yesterday.	watchとIの間にあった関係代名詞（which/that）が、目的格であるため省略されているからです。	名詞の直後に「主語＋動詞」がいきなり続いている場合、関係代名詞の省略を疑うのがコツです。
関係副詞	「あれは私が生まれた村です」の（ ）に入る適切な語はどれですか？「That is the village ( ) I was born.」	where	which	who	why	先行詞が場所（village）で、後ろの文が副詞の役割を必要としているからです。	I was born in the villageのin the village（そこで）という副詞を関係副詞whereに置き換えています。
関係副詞	「私は彼に初めて会った日のことを覚えています」の（ ）に適するのはどれですか？「I remember the day ( ) I met him.」	when	where	which	how	先行詞が時（the day）を表す言葉であり、時を繋ぐ関係副詞が必要だからです。	then（その時）という副詞の役割を兼ねているため、関係代名詞ではなく関係副詞のwhenを使います。
関係副詞	「これが私が遅刻した理由です」と言う際、（ ）に入る語は何ですか？「This is the reason ( ) I was late.」	why	which	where	when	先行詞が理由（the reason）の時に、後ろの節を繋ぐことができるのはwhyだからです。	the reason whyはセットで使われることが多く、どちらか一方が省略されることもよくあります。
関係副詞	英語で「方法」を説明する際、文法的に正しくない組み合わせはどれですか？	the way how	the way	how	the way in which	the wayとhowは同時には使わず、どちらか一方のみを用いるというルールがあるからです。	「方法」を言う時は、the wayかhowのどちらか一方、あるいはthe way that/in whichを使います。
関係副詞	「あれは多くの人が訪れる美術館です」の（ ）に入る語はどれですか？「That is the museum ( ) many people visit.」	which	where	why	when	動詞visitの目的語（何を訪れるか）が欠けているため、名詞の代わりをする関係代名詞が必要だからです。	美術館は場所ですが、後ろの文で「～を訪れる」という目的語が必要な場合は、関係代名詞whichを使います。
関係副詞	「あれは私達がよく行く美術館です」の（ ）に入る語はどれですか？「That is the museum ( ) we often go.」	where	which	whom	how	go（行く）は自動詞で、後ろに「そこに」という副詞の情報を補う関係副詞が必要だからです。	visit（他動詞）ならwhich、go to（自動詞＋前置詞）ならwhereと見分けるのが正解のコツです。
関係副詞	関係副詞whereを「前置詞＋関係代名詞」で書き換える際、適切なものはどれですか？	in which	to whom	for which	of what	場所を表す関係副詞whereは、文脈に応じてin whichやat whichなどの形に書き換えられるからです。	逆に言えば、whereの後ろには前置詞が残らない「完全な文」が続くことになります。
関係副詞	「私は彼女が財布を置いた場所を知りません」を先行詞なしで表した際、正しいのはどれですか？	I don't know where she put her wallet.	I don't know the place which she put her wallet.	I don't know place where she put her wallet.	I don't know that where she put her wallet.	先行詞がthe placeのように一般的な場所の場合、省略して関係副詞だけで名詞の塊を作れるからです。	先行詞を省略すると、where節全体が「～した場所」という名詞の役割を果たすようになります。
関係副詞	「私は彼がパリに滞在していた時のことを覚えています」を関係副詞のみで表すとどうなりますか？	I remember when he stayed in Paris.	I remember then he stayed in Paris.	I remember the time which he stayed in Paris.	I remember while he stayed in Paris.	先行詞the timeは省略が可能で、whenだけで「～した時」という名詞の塊として扱えるからです。	会話では、the time whenと言うよりも、どちらかを省略して短く言うのが一般的です。
関係副詞	「彼は私に、どのようにしてその問題を解いたかを話しました」として適切なのはどれですか？	He told me how he solved the problem.	He told me the way how he solved the problem.	He told me way he solved the problem.	He told me how did he solve the problem.	how単独で「どのように～したか（方法）」という名詞の塊を作り、目的語になれるからです。	how節の中は疑問文の語順（did he solve）ではなく、肯定文の語順（he solved）にします。
関係副詞	「私は大阪に行き、そこで友達に会いました」という補足説明の形として正しいのはどれですか？	I went to Osaka, where I met my friend.	I went to Osaka where I met my friend.	I went to Osaka, which I met my friend.	I went to Osaka, there I met my friend.	カンマを置く継続用法（非制限用法）にすることで、「そしてそこで」という情報を付け加えられるからです。	継続用法の「, where」は「and there」と書き換えて考えると意味が分かりやすくなります。
関係副詞	「彼は先週末キャンプに行きましたが、その時はとても寒かったです」の（ ）に入る語は何ですか？	, when	when	, which	, then	カンマ＋whenを用いることで、前の内容に対して「しかしその時」という逆接のニュアンスを含めることができるからです。	継続用法のwhenは「and then（そしてその時）」や「but then（しかしその時）」の意味になります。
関係副詞	「彼らが結婚する時は、すぐに来るでしょう」とする際、空所に適するのはどれですか？「The time will come soon ( ) they will get married.	when	which	where	how	先行詞（The time）と関係副詞（when）が離れていますが、時を説明する形容詞節が必要だからです。	英語では結論（動詞）を先に言うため、長い修飾語（when節）が文末に回されることがあります。
関係副詞	理由を表す際、whyを省略した正しい文はどれですか？	This is the reason I am here.	This is reason I am here.	This is the reason for I am here.	This is why the reason I am here.	先行詞the reasonがある場合、関係副詞whyは省略してもしなくても意味が変わらないからです。	the reason whyの形に慣れたら、次はどちらかを消した形も使えるようになりましょう。
関係副詞	「これは彼が作った方法です」をthe wayを使って表す際、正しいものはどれですか？	This is the way he made it.	This is the way how he made it.	This is the way what he made it.	This is way he made it.	howは使わずに、the wayの直後に主語＋動詞を続けて「～する方法」という意味にできるからです。	the way (that) ～ という形で、thatが省略されていると考えると構造を理解しやすくなります。
関係副詞	関係副詞whenが省略された「私が学校へ行かなければならない日を忘れた」の正しい英文はどれですか？	I forgot the day I had to go to school.	I forgot the day go to school.	I forgot day when I had to go to school.	I forgot when day I had to go to school.	dayなどの時を表す名詞の直後では、関係副詞whenは非常によく省略されるからです。	名詞の直後にいきなり「主語＋動詞」が来たら、関係詞の省略を疑うのが英語を読むコツです。
関係副詞	「彼女が有名になった方法」を「in which」を使って表す場合の正しい形はどれですか？	the way in which she got famous	how in which she got famous	the way which she got famous in	the way how in which she got famous	howを前置詞＋関係代名詞にする際は、in whichという形を用いるのが文法的に正しいからです。	howを他の語で書き換えるなら「the way」「in which」「the way in which」のいずれかになります。
関係副詞	関係副詞の中で、カンマを付けて「継続用法」として使うことができないものはどれですか？	whyとhow	whereとwhen	whenとwhy	howとwhere	理由のwhyと方法のhowには、情報を補足的に付け加える継続用法の使い道がないからです。	継続用法ができるのは、場所のwhereと時のwhenの２つだけであると覚えておきましょう。
関係副詞	「あなたが友達が働いているお店を訪れた」と言う際、不自然な英文はどれですか？	I visited the store at where my friend works.	I visited the store where my friend works.	I visited the store at which my friend works.	I visited the store my friend works at.	関係副詞whereの直前に前置詞（at）を置くことはできないルールだからです。	前置詞を前に出したいなら「at which」とし、whereを使うなら前置詞は消さなければなりません。
関係副詞	関係副詞whereの後ろに来る文の構造として、正しい説明はどれですか？	主語や目的語が揃った「完全な文」が来る	目的語が欠けた「不完全な文」が来る	必ず動詞から始まる文が来る	主語が省略された文が来る	whereは副詞の代わりなので、後ろの文自体からは名詞（主語や目的語）が消えていないからです。	後ろの文だけを見て、何も欠けていなければ関係副詞、名詞が欠けていれば関係代名詞と判断します。
複合関係詞	「最初に来た人は誰でも、それをあげましょう」の（ ）に入る語はどれですか？「( ) comes first, I will give it.」	Whoever	Whatever	Whichever	Whenever	「〜する人は誰でも」という人を指す主語の役割をする必要があるからです。	whoにeverを付けると「〜する人は誰でも」という意味になり、文の中で主語や目的語になります。
複合関係詞	「欲しいものは何でも手に入れることができます」の（ ）に入る適切な語はどれですか？「You can get ( ) you want.」	whatever	whichever	whoever	however	範囲の制限なく「〜のものは何でも」という物・事を指す目的語が必要だからです。	whatにeverが付くと、具体的な選択肢がない広い範囲での「何でも」を表すことができます。
複合関係詞	目の前の２つのペンを指して「どちらでも好きなほうを取っていいですよ」と言う際の適切な語はどれですか？	whichever	whatever	whenever	wherever	選択肢が限定されている中で「〜のものはどちらでも」という意味を表すからです。	whateverは「何でも」と範囲が広いですが、whicheverは限られた中から選ぶニュアンスになります。
複合関係詞	「質問がある時はいつでも私に尋ねてください」の（ ）に入る語は何ですか？「Please ask me ( ) you have a question.」	whenever	wherever	however	whatever	「〜する時はいつでも」という時を表す副詞節を作る必要があるからです。	wheneverは「at any time when」と言い換えることができ、動作のタイミングを説明します。
複合関係詞	「座りたいところならどこでも座っていいですよ」と言う際、（ ）に入るのはどれですか？「You may sit ( ) you like.」	wherever	whenever	however	whichever	「〜するところはどこでも」という場所を表す副詞節を作る語だからです。	whereverは「at any place where」と言い換えることができ、場所の自由度を表します。
複合関係詞	「どんなに一生懸命挑戦しても、それはできません」の（ ）に入る語は何ですか？「( ) hard I try, I can't do it.」	However	Whatever	Whenever	Wherever	「どんなに〜しても」という程度を表し、後ろに形容詞や副詞を伴う形だからです。	howeverは「no matter how」と同じ意味になり、後ろの形容詞（hardなど）を修飾します。
複合関係詞	「誰がそう言ったとしても、それは本当ではありません」という譲歩の意味を表す語順はどれですか？	Whoever says so	Whichever says so	Whatever says so	However says so	「誰が〜しても（譲歩）」という意味で、主語として文を導く必要があるからです。	譲歩の意味のwhoeverは「no matter who」と言い換えても同じ意味になります。
複合関係詞	「あなたが何をあげたとしても、彼女は喜ぶでしょう」という譲歩（たとえ〜でも）の意味になるのはどれですか？	Whatever	Whichever	Whenever	However	「何が（を）〜しても」という特に制限のない譲歩の意味を表すからです。	whateverが作る節が「たとえ〜だとしても」というおまけの文（副詞節）になる場合です。
複合関係詞	「どちらが勝ったとしても、彼は満足するでしょう」の（ ）に適するのはどれですか？「( ) wins, he will be satisfied.」	Whichever	Whatever	Whoever	Wherever	選択肢がある中で「どちらが〜しても」という譲歩の意味を表す必要があるからです。	制限された中での「どちらか」を指す場合は、whatよりもwhichの系統が好まれます。
複合関係詞	「いつ家に帰ってきても、夕食は用意されていますよ」と言う際、（ ）に入る語は何ですか？	whenever	wherever	however	whoever	「いつ〜したとしても」という時の譲歩を表し、主節の内容を補足するからです。	wheneverの譲歩の意味は「no matter when」と言い換えることができます。
複合関係詞	「彼がどこへ行こうとも、私は彼と一緒に行きません」と言う際、（ ）に適するのはどれですか？	wherever	whenever	however	whichever	「どこへ〜しても」という場所の譲歩を表す副詞節を作る必要があるからです。	動作の行き先がどこであっても結論は変わらない、というニュアンスを添えます。
複合関係詞	「どんなに彼が狂っていても、私は彼が好きです」の（ ）に入る適切な語は何ですか？「( ) crazy he is, I like him.」	However	Whatever	Whoever	Whichever	程度を表す形容詞（crazy）を伴い、「たとえどんなに〜でも」という意味を作るからです。	howeverは単独ではなく、必ず直後に形容詞や副詞を置いてセットで使います。
複合関係詞	「あなたが招待する人は誰でも歓迎されます」と言う際、目的格のwhomeverの代わりに使えるのはどれですか？	whoever	whatever	whichever	however	口語では目的格のwhomeverの代わりに、主格と同じwhoeverがよく用いられるからです。	文法的にはwhomeverが正しい位置でも、実際の会話ではwhoeverが一般的です。
複合関係詞	無制限に「欲しいものは何でも（whatever）」に対し、制限のある中での「何でも」を表す語はどれですか？	whichever	wherever	whenever	however	目の前にある物や決まった範囲の中から「どれでも」と選ぶニュアンスになるからです。	「どれでも好きなほう」という選択肢が意識される時はwhicheverを使います。
複合関係詞	whenever を譲歩（いつ〜しても）の意味で言い換える際、正しい組み合わせはどれですか？	no matter when	no matter where	no matter how	no matter what	複合関係詞の譲歩の意味は、すべて「no matter + 疑問詞」の形に書き換えられるからです。	形は変わりますが意味は全く同じです。書き言葉ではno matter ～ もよく使われます。
複合関係詞	wherever を「〜するところはどこでも」という意味で言い換える際、正しいのはどれですか？	at any place where	at any time when	in any way how	anything that	「〜な場所はどこでも」という場所を特定する名詞的な意味になるからです。	譲歩の「どこへ〜しても」とは異なり、場所そのものを指す言い換えになります。
複合関係詞	「どんなに忙しくても、私はあなたを手伝います」の（ ）に入る適切な形はどれですか？「( ) busy I am, I'll help you.」	However	Whatever	Whenever	Wherever	形容詞busyを修飾して「どんなに〜の状態でも」という譲歩の意味を作るからです。	howeverの後ろの語順は「形容詞 ＋ 主語 ＋ 動詞」のセットになるのがルールです。
複合関係詞	「そう言う人は誰であっても、私は信じません」と言う際の（ ）に入る語は何ですか？「I don't believe ( ) says so.」	whoever	whomever	whatever	whichever	意味上の主語「〜する人は誰でも」であり、後ろに動詞saysが続く主格の役割だからです。	誰が言ったのか、という「人」に焦点を当てた広い範囲の肯定を表します。
複合関係詞	「それが何であっても、彼は決してあきらめません」の（ ）に入る語は何ですか？「He never gives up ( ) it is.」	whatever	however	whenever	wherever	「たとえそれが何であっても」という物事の譲歩を表す副詞節が必要だからです。	whatever it isという形は、日常会話でも「何が何でも」という文脈でよく使われます。
複合関係詞	複合関係詞「〜ever」が導く節（文）の種類として、正しい組み合わせはどれですか？	名詞節と副詞節	名詞節と形容詞節	形容詞節と副詞節	主節と従属節	文中で主語や目的語になる「名詞節」と、譲歩を表す「副詞節」の２つの役割があるからです。	節の役割によって「〜は誰でも」か「たとえ誰が〜しても」か訳し方が変わります。
仮定法	「もし私がお金持ちなら、それを買えるのになあ」と言う際の（ ）に入る形はどれですか？「If I ( ) rich, I could buy it.」	were	am	was	be	現在の事実とは異なる願望や仮定を表す「仮定法過去」では、be動詞は主語に関わらずwereを使うのが一般的だからです。	現代の口語ではwasが使われることもありますが、テストや正式な場ではwereが正解とされます。
仮定法	「もし時間があれば、君を助けに行けるのだが」の（ ）に適するのはどれですか？「If I had time, I ( ) go to help you.」	would	will	shall	am	現在の事実の反対を仮定する際、後半の文（帰結節）には助動詞の過去形（would/could/might）を用いるからです。	willなどの現在形を使うと、単なる未来の予測（もし時間があれば行くよ）という現実味のある話になります。
仮定法	「もし昨日雨が降っていたら、私は家にいたでしょう」と過去を仮定する形はどれですか？「If it ( ) yesterday, I would have stayed home.」	had rained	rained	has rained	was raining	過去の事実とは反対のことを仮定する「仮定法過去完了」では、if節の中をhad + 過去分詞にするからです。	昨日のこと（過去の事実）の反対を言うので、時制を一つ古くして過去完了形を用います。
仮定法	「もし彼がそのニュースを聞いていたら、驚いたことだろう」の（ ）に入る語は何ですか？「If he had heard the news, he would ( ) been surprised.」	have	had	has	be	仮定法過去完了の後半の文は「助動詞の過去形 + have + 過去分詞」という形にする決まりだからです。	「would have 過去分詞」のセットで「（あの時）～しただろうに」という過去の推量を表します。
仮定法	「私が鳥だったらなあ（現実は鳥ではない）」という現在の願望を表す形はどれですか？「I wish I ( ) a bird.」	were	am	was	can be	I wishの後ろに仮定法過去（were/過去形）を続けることで、現在の実現不可能な願望を表せるからです。	「～であればいいのに」という今の気持ちを、あえて過去形にすることで「現実ではない」距離感を出します。
仮定法	「（あの時）もっと勉強しておけばよかったなあ」という過去の不満を表す形はどれですか？「I wish I ( ) harder.」	had studied	studied	study	have studied	過去にできなかったことへの後悔を表現する際は、I wishの後ろに仮定法過去完了を用いるからです。	すでに終わった過去のことを「～だったらよかったのに」と嘆く時は「had + 過去分詞」を使います。
仮定法	「彼はまるで何でも知っているかのように話す」とする際、（ ）に入る形はどれですか？「He talks as if he ( ) everything.」	knew	knows	had known	has known	「まるで～であるかのように」と、現在の事実に反する様子を表現するにはas ifの後に過去形を置くからです。	実際には知らないのに知っているふりをしている、というニュアンスを過去形knewで表します。
仮定法	「あなたの助けがなければ、私は失敗するだろう」という仮定の慣用句はどれですか？「( ) your help, I would fail.」	Without	Unless	With	Except	WithoutやBut forは「もし～がなければ」というIf it were not forと同じ仮定の意味を表せるからです。	文の後半にwouldなどの過去形がある場合、Withoutは「～がなければ」という仮定法として機能します。
仮定法	「もし水がなければ、私達は生きられないだろう」をifから始めて書き換える際の正しい形はどれですか？	If it were not for water	If there is no water	If water was not	If it had not been for water	「現在の」事実に基づき「もし～がなければ」と仮定する定番のフレーズがIf it were not for ～ だからです。	暗記必須の重要構文です。were not を短縮せずこの形で覚えるのが一般的です。
仮定法	「万一、明日雨が降れば、試合は中止になります」と可能性の低い未来を仮定する語は何ですか？「If it ( ) rain tomorrow, the game will be cancelled.」	should	would	will	might	「万一～ならば」という、未来に起こる可能性が低いことを仮定する場合はshouldを用いるルールがあるからです。	後半の文にはwill（現在形）もwould（過去形）も両方使うことができます。
仮定法	「太陽が西から昇るようなことがあっても、私は決心を変えません」という強い仮定の形はどれですか？「If the sun ( ) rise in the west...」	were to	is to	was to	should	「もし仮に～だとしたら」と、実現の可能性がほぼゼロのことを仮定する際にはwere toを用いるからです。	実際にはありえないような極端な例え話をする時によく使われる表現です。
仮定法	「もし私があなたなら、そこへ行くだろう」のIfを省略した正しい語順はどれですか？	Were I you	Am I you	I were you	Was I you	仮定法のIfを省略すると、主語とbe動詞（were）が入れ替わる「倒置」という現象が起きるからです。	「If I were you」のIfを消すと「Were I you」となり、少し改まった響きの文になります。
仮定法	「もし（あの時）真実を知っていたら、怒らなかっただろう」のIfを省略した形はどれですか？	Had I known	Have I known	I had known	I known	仮定法過去完了のIfを省略する場合、助動詞のhadを主語の前に出して倒置させるルールがあるからです。	「If I had known」からIfを消すと「Had I known」という形になります。
仮定法	「もう寝る時間ですよ」と促す際、動詞はどの形にしますか？「It is time you ( ) to bed.」	went	go	have gone	are going	It is timeの後ろに仮定法過去（過去形）を用いることで、「とっくに～しているはずの時間だ」というニュアンスになるからです。	現実にはまだ寝ていないので、仮定法を使って「（仮に寝ているなら）もう寝ている時間だ」と表現します。
仮定法	「（今の状況に対し）もっとお金があればいいのになあ！」と強調する表現はどれですか？	If only I were rich!	If only I am rich!	If I only was rich!	Only if I were rich!	If only...! はI wish...よりも強い願望や感嘆を表し、後ろには仮定法を伴うという決まりがあるからです。	文末に感嘆符（！）が付くことが多く、話し手の強い感情がこもった表現になります。
仮定法	「もっとお金があれば、それを買えるのに」をIfを使わずに表現する際、適切なのはどれですか？	With more money	For more money	About more money	At more money	「With + 名詞」の形で、「もし～があれば」という仮定の意味を代用することができるからです。	前置詞だけでIf節と同じ役割を果たすことができ、非常に簡潔な表現として好まれます。
仮定法	「彼女が話すのを聞けば、彼女を男だと思うだろう」という、不定詞を使った仮定の形はどれですか？	To hear her speak	To hearing her speak	By hearing her speak	Heard her speak	不定詞（To do...）が文頭にある場合、「もし～すれば」という仮定法過去の条件を表すことがあるからです。	後半にwould take...などの形があるため、このTo hearは仮定の意味であると判断できます。
仮定法	「あなたの立場なら、私は真実を言うだろう」という、副詞句が仮定の意味になる表現はどれですか？	In your position	At your position	By your position	To your position	場所や状況を表す副詞句が、「もしその状況だったら」というIf節の代わりをすることがあるからです。	「If I were in your position」を短くした形だと考えると分かりやすいです。
仮定法	「もしあの時薬を飲んでいたら、今ごろ元気だろうに」という、過去と現在が混ざった正しい形はどれですか？	If I had taken ..., I would be ...	If I took ..., I would be ...	If I had taken ..., I would have been ...	If I take ..., I am ...	過去の仮定（had taken）が現在の結果（would be）に影響している場合、前半と後半で時制を使い分けるからです。	過去完了（過去の仮定）と過去形（今の推量）のミックスは、試験でも非常に出題されやすいポイントです。
仮定法	「もし（あの時）助けがなかったら、彼は死んでいただろう」をIt had not been...を使って表す際、正しいのはどれですか？	If it had not been for ...	If it was not for ...	If it had not for ...	If it being not for ...	過去の時点について「もし～がなかったら」と仮定する決まったフレーズがIf it had not been for ～ だからです。	仮定法過去の「If it were not for」の過去完了版です。had not been 過去分詞の形をしっかり覚えましょう。
比較	「武は健と同じくらい背が高い。」とする際、（ ）に入る正しい組み合わせはどれですか？「Takeshi is ( ) tall ( ) Ken.」	as / as	so / as	as / than	so / than	英語で「同じくらい〜」という同格を表すには、形容詞をasとasではさむルールだからです。	1つ目のasは「同じくらい」という程度を表し、2つ目のasは「〜と比べて」という比較対象を導きます。
比較	「このペンはあのペンほど新しくない。」という否定の同格表現で、適切な形はどれですか？	not as new as	not new as as	as not new as	not new than	「〜ほど…ではない」と否定する場合は、notをas 〜 asの前に置く決まりだからです。	否定文では、1つ目のasをsoに変えて「not so 〜 as …」と表現することもあります。
比較	「彼は私より速く走る。」と言う際、副詞を比較級にした正しい形はどれですか？「He runs ( ) than I.」	faster	more fast	fastier	fastest	綴りが短い副詞（fastなど）は、語尾にerを付けることで比較級を作るからです。	比較級の後ろには、比較の対象を表すthan（〜よりも）を置くのが基本のセットです。
比較	「この本はあの本より重要です。」と言う際、綴りの長い形容詞はどう変化させますか？	more important	importanter	most important	important er	importantのような長い語を比較級にする場合は、語の前にmoreを置くルールがあるからです。	長い単語にerを付けると発音が難しくなるため、moreを使って長さを調整しています。
比較	「この本はあの本より『はるかに』難しい。」と、比較の差を強調するのに適切な語はどれですか？	much	very	more	so	比較級（more difficultなど）を強調して「ずっと、はるかに」と言いたい時はmuchやfarを使うからです。	veryは「とても」という意味ですが、比較級を修飾することはできないので注意しましょう。
比較	「彼は私より上手に英語を話すことができる。」の空所に適するのはどれですか？「He can speak English ( ) than I.」	better	gooder	weller	best	well（上手に）の比較級は、語尾にerを付けるのではなく、betterに不規則変化するからです。	good（よい）の比較級も同じくbetterになります。不規則に変わる語は丸ごと覚えましょう。
比較	「高ければ高いほど、空気は冷たくなる。」という、比例して変化する様子を表す構文はどれですか？	The higher ..., the colder ...	High ..., cold ...	More higher ..., more colder ...	As higher ..., so colder ...	「The 比較級 〜 , the 比較級 …」で「〜すればするほど、ますます…」という慣用表現になるからです。	文頭にTheが付く特殊な比較の形で、前後の文の変化が連動していることを表します。
比較	「私は猫より犬が好きです。」と、preferを用いて表す際の正しい形はどれですか？	I prefer dogs to cats.	I prefer dogs than cats.	I prefer dogs more cats.	I prefer dogs as cats.	prefer（〜をより好む）を使う場合は、thanではなく前置詞のtoを使って比較対象を表すからです。	ラテン語由来の比較表現と呼ばれ、superior to（〜より優れている）なども同じ仲間です。
比較	「彼は父親と同じくらい『たくさんのお金』を持っている。」と言う際の正しい形は何ですか？	as much money as	as many money as	as money much as	as many money than	money（お金）は数えられない名詞なので、manyではなくmuchを用いて量を表すからです。	数えられる名詞（本など）ならmanyを使い、数えられない名詞ならmuchを使う使い分けが大切です。
比較	「彼はとても親切な少年です。」を、mostを使って「非常に」と強調する表現はどれですか？	a most kind boy	the most kind boy	most kind a boy	the kindest boy	「a most + 形容詞 + 単数名詞」の形で、veryと同じく「とても、非常に」という意味になるからです。	theを付けると「一番〜」という最上級になりますが、aを付けると単なる強い強調になります。
比較	「夏は四季の中で一番暑い。」とする際、（ ）に入る前置詞はどれですか？「Summer is the hottest ( ) the four seasons.」	of	in	at	by	最上級の文で、比較する対象が「複数（数や特定の物）」の場合はofを用いるルールだからです。	一方で、「クラスで」や「日本で」のように、場所や範囲を表す場合はinを使います。
比較	「ケンは私のクラスで一番背が高い。」とする際、（ ）に入る前置詞は何ですか？「Ken is the tallest ( ) my class.」	in	of	at	with	比較する範囲が「場所や団体（単数扱い）」を表す場合は、inを用いるのが一般的だからです。	inとofの使い分けは、後ろに「場所・範囲」がくるか「数・メンバー」がくるかで見分けます。
比較	「あなたは2人のうち、どちらが背が高いと思いますか？」とする際の正しい形はどれですか？	the taller of the two	the tallest of the two	taller than the two	the tallest in the two	比較する対象が「2つ（2人）」であれば、文の形が最上級に似ていても比較級を用いるからです。	3つ以上ならthe tallestですが、2つなら「どちらか一方がより〜」なのでthe tallerとなります。
